site_name,model_name,model_code,maker,lauch,os,sell_type,display_inch,display_centi,panel_type,resolution,ppi,refresh_rate,display_ratio,display_area,display_width,display_height,hdr_standard,ap_type,core_num,core_clock,graphic_core,npu_dsp,sensor_hub,com_modem,system_ram,in_mem,storage_device,out_mem,5G,4G,wifi,bluetooth,satelite,usim_type,dual_usim,cam_type,back_cam,front_cam,video,flash,picture_resol,front_disp_resol,front_video_resol,apecture,cam_char,trem_correction,trem_prevention,cam_flash,hdr_support,auto_hdr,optic_zoom,zio_tag,lazer_auto_focus,auto_focus,out_focus,touch_focus,panorama,tof_sensor,shoot_night_mode,earphone_term,speaker,high_sound_qual_play,sound_tech,fingerprint_recog,face_recog,iris_recog,speech_recog,ai,elec_payment,touch_pen,waterproof,etc,charge_term,battery_storage,battery_type,battery_char,battery_mount_method,charge_support,high_speed_charge,wireless_charge,color,length,width,thickness,weight
나무위키,갤럭시 A8 2018,SM-A530,samsung,,안드로이드 7.1 (Nougat) | 8.0 (Oreo) | 9 (Pie)Samsung Experience 8.1 | 9.0 | Samsung One UI 1.0,,,5.6,Super AMOLED,2220 x 1080,441,60Hz,18.5:9,,,,,삼성 엑시노스 7 Series (7885) SoC.  ,,ARM Cortex-A73 MP2 2.2 GHz CPUARM Cortex-A53 MP6 1.6 GHz CPU,ARM Mali-G71 MP2 1.1 GHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,4 GB LPDDR4X SDRAM,32, eMMC 5.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Beidou",,,,"1,600만  + 800만 ","1,600만 + 800만",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IP68 등급 방수 방진 지원, Dolby Atmos 기술[O] 탑재","USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",3000,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W),,,,,"블랙, 골드, 블루",70.6,149.2,8.4,172
나무위키,갤럭시 A6 2018,SM-A600,samsung,,안드로이드 8.0 (Oreo) | 9 (Pie) | 10Samsung Experience 9.0 | Samsung One UI 1.0 | 2,,,5.6,Super AMOLED,1480 x 720,293,60Hz,18.5:9,,,,,삼성 엑시노스 7 Octa (7870) SoC.  ,,ARM Cortex-A53 MP8 1.6 GHz CPU,ARM Mali-T830 1 GHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,3 GB LPDDR3 SDRAM,32, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.2,"GPS & A-GPS, GLONASS, Beidou",,,,," 1,600만",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolby Atmos 기술 탑재,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 라벤더, 골드",70.8,149.9,7.7,162
나무위키,갤럭시 A7 2018,SM-A750,samsung,,안드로이드 8.0 (Oreo) | 9 (Pie) | 10Samsung Experience 9.0 | Samsung One UI 1.0 | 2,,,6,Super AMOLED,2220 x 1080,411,60Hz,18.5:9,,,,,삼성 엑시노스 7 Series (7885) SoC.  ,,ARM Cortex-A73 MP2 2.2 GHz CPUARM Cortex-A53 MP6 1.6 GHz CPU,ARM Mali-G71 MP2 1.1 GHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,4 GB LPDDR4X SDRAM,64, eMMC 5.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Beidou",,,,"2,400만  + 800만  + 500만 "," 2,400만",,LED 플래시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolby Atmos 기술 탑재,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 블루, 골드",76.8,159.8,7.5,168
나무위키,갤럭시 A5 2017,SM-A520,samsung,,안드로이드 6.0 (Marshmallow) | 7.0 (Nougat) | 8.0 (Oreo)삼성 터치위즈 GRACE UX | Samsung Experience 8.1| Samsung Experience 9.0,,,5.2,Super AMOLED,1920 x 1080,423,60Hz,16:09,,,,,삼성 엑시노스 7 Series (7880) SoC.  ,,ARM Cortex-A53 MP8 1.9 GHz CPU,ARM Mali-T830 MP3 950 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,3 GB LPDDR4 SDRAM,32, eMMC 5.1, micro SDXC (규격상 2 TB,,4G,,4.2,"GPS & A-GPS, GLONASS, Beidou",,,,," 1,600만",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IP68 등급 방수 방진 지원, FM 라디오 지원","USB 2.0 Type-C x 1, 3.5 mm 단자 x 1",3000,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W),,,,,"블랙 스카이, 블루 미스트, 피치 클라우드",71.4,146.1,7.9,157
나무위키,갤럭시 A8 2016,SM-A810,samsung,,안드로이드 6.0 (Marshmallow) | 7.0 (Nougat) | 8.0 (Oreo)삼성 터치위즈 GRACE UX | Samsung Experience 8.1 | 9.0,,,5.7,Super AMOLED,1920 x 1080,386,60Hz,16:09,,,,,삼성 엑시노스 7 Octa (7420) SoC.  ,,ARM Cortex-A57 MP4 2.1 GHz CPUARM Cortex-A53 MP4 1.6 GHz CPU,ARM Mali-T760 MP8 772 MHz GPU,미탑재,미탑재,미탑재,3 GB LPDDR4 SDRAM,32, UFS 2.0, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS",,,,, 800만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",3300,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"블루, 실버, 핑크",76.8,156.6,7.2,182
나무위키,갤럭시 A3 2016,SM-A310,samsung,,안드로이드 5.1 (Lollipop) | 6.0 (Marshmallow) | 7.0 (Nougat)삼성 터치위즈 네이쳐 UX 4.0 | Samsung Experience 8.0,,,4.7,Super AMOLED,1280 x 720,312,60Hz,16:09,,,,,삼성 엑시노스 7 Quad (7578) SoC.  ,,ARM Cortex-A53 MP4 1.5 GHz CPU,ARM Mali-T720 MP2 700 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,1.5 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM 라디오 지원,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 화이트, 핑크 골드",65.2,134.5,7.3,132
나무위키,갤럭시 A5 2016,SM-A510,samsung,,안드로이드 5.1 (Lollipop) | 6.0 (Marshmallow) | 7.0 (Nougat)삼성 터치위즈 네이쳐 UX 4.0 | Samsung Experience 8.0,,,5.2,Super AMOLED,1920 x 1080,424,60Hz,16:09,,,,,삼성 엑시노스 7 Octa (7580) SoC.  ,,ARM Cortex-A53 MP8 1.6 GHz CPU,ARM Mali-T720 MP2 800 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,2 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM 라디오 지원,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",2900,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"블랙, 화이트, 핑크 골드",71,144.8,7.3,155
나무위키,갤럭시 A7 2016,SM-A710,samsung,,안드로이드 5.1 (Lollipop) | 6.0 (Marshmallow) | 7.0 (Nougat)삼성 터치위즈 네이쳐 UX 4.0 | Samsung Experience 8.0,,,5.5,Super AMOLED,1920 x 1080,401,60Hz,16:09,,,,,삼성 엑시노스 7 Octa (7580) SoC.  ,,ARM Cortex-A53 MP8 1.6 GHz CPU,ARM Mali-T720 MP2 800 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,3 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM 라디오 지원,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",3300,내장형 Li-Ion  ,삼성전자 Adaptive Fast Charging (15 W),,,,,"블랙, 화이트, 골드, 핑크 골드",74.1,151.5,7.3,172
나무위키,갤럭시 A8,SM-A800,samsung,,안드로이드 5.1 (Lollipop) | 6.0 (Marshmallow)  | 7.0 (Nougat)삼성 터치위즈 네이쳐 UX 4.0  | Samsung Experience 8.1,,,5.7,Super AMOLED,1920 x 1080,386,60Hz,16:09,,,,,삼성 엑시노스 5 Octa (5430) SoC.  ,,ARM Cortex-A15 Quad-Core 1.8 GHz CPUARM Cortex-A7 Quad-Core 1.3 GHz CPU,ARM Mali-T628 Hexa-Core 600 MHz GPU,미탑재,미탑재,미탑재,2 GB LPDDR3 SDRAM,32, eMMC 5.0, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국제,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"미드나잇 블랙, 펄 화이트, 샴페인 골드",76.8,158,5.9,151
나무위키,갤럭시 A5,SM-A500,samsung,,안드로이드 4.4 (KitKat) | 5.0 (Lollipop) | 6.0 (Marshmallow)삼성 터치위즈 네이쳐 UX 3.0 | 4.0[1],,,5,Super AMOLED,1280 x 720,294,60Hz,16:09,,,,,퀄컴 스냅드래곤 410 MSM8916 SoC.  ,,ARM Cortex-A53 MP4 1.2 GHz CPU,퀄컴 Adreno 306 450 MHz GPU,퀄컴 Hexagon QDSP6 V5 DSP,DSP 대체,Qualcomm Gobi MDM9x25,2 GB LPDDR3 SDRAM,16, eMMC 4.5, micro SDXC (규격상 2 TB,,4G,,4,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"미드나잇 블랙, 펄 화이트, 샴페인 골드",69.7,139.3,6.7,123
나무위키,갤럭시 A3,SM-A300,samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나무위키,갤럭시 A7,SM-A700,samsung,,안드로이드 4.4 (KitKat) | 5.0 (Lollipop) | 6.0 (Marshmallow)삼성 터치위즈 네이쳐 UX 3.0 | 4.0[1],,,5.5,Super AMOLED,1920 x 1080,--,60Hz,16:09,,,,,퀄컴 스냅드래곤 615 MSM8939 SoC.  ,,ARM Cortex-A53 MP4 1.5 GHz + MP4 1 GHz CPU,퀄컴 Adreno 405 GPU,퀄컴 Hexagon V50 DSP,DSP 대체,Qualcomm Gobi MDM9x25,2 GB LPDDR3 SDRAM,16, eMMC 5.0, micro SDXC (규격상 2 TB,,4G,,4,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"미드나잇 블랙, 펄 화이트, 샴페인 골드",76.2,151,6.3,141
나무위키,갤럭시 A,SHW-M100,samsung,,안드로이드 2.1 (Eclair) | 2.2 (Froyo) | 2.3 (Gingerbread)삼성 터치위즈 2.9 | 3.0,,,,,,,,,,,,,,,,,,,,384 MB LPDDR1 SDRAM,1, OneNAND , micro SDHC (최대 32 GB 지원),,,,3,,,,,, 30만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,지상파 DMB 지원,,,,,,,,,,59.8,119.5,12.5,128
나무위키,갤럭시 J2 Pro,SM-J250,samsung,,안드로이드 Go 8.1 (Oreo)Samsung Experience 8.1,,,5,TFT-LCD,960 x 540,--,60Hz,16:09,,,,,삼성 엑시노스 7 Quad (7570) SoC.  ,,ARM Cortex-A53 Quad-Core 1.4 GHz CPU,ARM Mali-T720 700 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,1 GB LPDDR3 SDRAM,8, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.2,"GPS & A-GPS, GLONASS, Beidou",,듀얼심 지원,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 골드, 블루",72.1,143.4,8.9,154
나무위키,갤럭시 J3 2017,SM-J330,samsung,,안드로이드 7.0 (Nougat) | 8.0 (Oreo) | 9 (Pie)Samsung Experience 8.1 | 9.0 | Samsung One UI 1.1,,,5,TFT-LCD,1280 x 720,338,,16:09,,,,,삼성 엑시노스 7 Quad (7570) SoC.  ,,ARM Cortex-A53 MP4 1.4 GHz CPU,ARM Mali-T720 700 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,2 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.2,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 블루 실버, 골드",70.3,143.2,8.2,142
나무위키,갤럭시 J5 2017,SM-J530,samsung,,안드로이드 7.0 (Nougat) | 8.1 (Oreo) | 9 (Pie)Samsung Experience 8.1 | 9.5 | Samsung One UI 1.1,,,5.2,Super AMOLED,1280 x 720,--,60Hz,16:09,,,,,삼성 엑시노스 7870 Octa-core SoC.  ,,ARM Cortex-A53 MP8 1.6 GHz CPU,ARM Mali-T830 GPU,미탑재,미탑재,(파트넘버 불명) 내장,2 GB LPDDR3 SDRAM,32, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS, Beidou",,,,," 1,300만",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 블루 실버, 핑크",71.3,146.2,8,160
나무위키,갤럭시 J7 2017,SM-J730,samsung,,안드로이드 7.0 (Nougat) | 8.1 (Oreo) | 9 (Pie)Samsung Experience 8.1 | 9.5 | Samsung One UI 1.1,,,5.5,Super AMOLED,1920 x 1080,401,60Hz,16:09,,,,,삼성 엑시노스 7 Octa (7870) SoC.  ,,ARM Cortex-A53 MP8 1.6 GHz CPU,ARM Mali-T830 GPU,미탑재,미탑재,(파트넘버 불명) 내장,3 GB LPDDR3 SDRAM,32, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS, Beidou",,,,," 1,300만",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 골드",74.7,152.4,7.8,181
나무위키,갤럭시 J3 2016,SM-J320,samsung,,안드로이드 6.0 (Marshmallow)삼성 터치위즈 네이쳐 UX 4.0,,,5,Super AMOLED,1280 x 720,293,,16:09,,,,,퀄컴 스냅드래곤 410 MSM8916 SoC.  ,,ARM Cortex-A53 Quad-Core 1.2 GHz CPU,퀄컴 Adreno 306 450 MHz GPU,퀄컴 Hexagon QDSP6 V5 DSP,DSP 대체,Qualcomm Gobi MDM9x25,1.5 GB LPDDR3 SDRAM,8, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM 라디오 지원,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,화이트,71,142.3,7.9,138
나무위키,갤럭시 J7 2016,SM-J710,samsung,,안드로이드 6.0 (Marshmallow) | 7.0 (Nougat) | 8.1 (Oreo)삼성 터치위즈 네이쳐 UX 4.0 | Samsung Experience 8.1 | 9.5,,,5.5,Super AMOLED,1280 x 720,--,,16:09,,,,,삼성 엑시노스 7 Octa (7870) SoC.  ,,ARM Cortex-A53 MP8 1.6 GHz CPU,ARM Mali-T830 GPU,미탑재,미탑재,(파트넘버 불명) 내장,2 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 골드",76,151.7,7.8,169
나무위키,갤럭시 J5 2016,SM-J510,samsung,,안드로이드 6.0 (Marshmallow) | 7.1 (Nougat)삼성 터치위즈 네이쳐 UX 4.0 | Samsung Experience 8.5,,,5.2,Super AMOLED,1280 x 720,--,,16:09,,,,,퀄컴 스냅드래곤 410 MSM8916 SoC.  ,,ARM Cortex-A53 MP4 1.2 GHz CPU,퀄컴 Adreno 306 450 MHz GPU,퀄컴 Hexagon QDSP6 V5 DSP,DSP 대체,Qualcomm Gobi MDM9x25,2 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 화이트",72.3,145.8,8.1,158
나무위키,갤럭시 J7,SM-J700,samsung,,안드로이드 5.1 (Lollipop) 삼성 터치위즈 네이쳐 UX 4.0,,,5.5,Super AMOLED,1280 x 720,--,,16:09,,,,,퀄컴 스냅드래곤 410 MSM8916 SoC.  ,,ARM Cortex-A53 MP4 1.2 GHz CPU,퀄컴 Adreno 306 450 MHz GPU,퀄컴 Hexagon QDSP6 V5 DSP,DSP 대체,Qualcomm Gobi MDM9x25,1.5 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일부 모델 FM 라디오 지원,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 화이트",78.6,152.4,7.5,171
나무위키,갤럭시 J6,SM-J600,samsung,,안드로이드 8.0 (Oreo) | 9 (Pie) | 10Samsung Experience 9.0 | Samsung One UI 1.0 | 2,,,5.6,Super AMOLED,1480 x 720,293,60Hz,18.5:9,,,,,삼성 엑시노스 7 Octa (7870) SoC.  ,,ARM Cortex-A53 MP8 1.6 GHz CPU,ARM Mali-T830 MP1 600 MHz GPU,미탑재,미탑재,(파트넘버 불명) 내장,2 GB LPDDR3 SDRAM,32, eMMC 5.1, micro SDXC (규격상 2 TB,,4G,,4.2,"GPS & A-GPS, GLONASS, Beidou",,,,, 800만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dolby Atmos 기술 탑재, FM 라디오 지원","USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 퍼플, 골드",70.2,149.3,8.2,154
나무위키,갤럭시 J5,SM-J500,samsung,,안드로이드 5.1 (Lollipop)삼성 터치위즈 네이쳐 UX 4.0,,,5,Super AMOLED,1280 x 720,--,,16:09,,,,,퀄컴 스냅드래곤 410 MSM8916 SoC.  ,,ARM Cortex-A53 MP4 1.19 GHz CPU,퀄컴 Adreno 306 450 MHz GPU,퀄컴 Hexagon QDSP6 V5 DSP,DSP 대체,Qualcomm Gobi MDM9x25,1.5 GB LPDDR3 SDRAM,16, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.1,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,일부 모델 FM 라디오 지원,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,화이트,71.8,142.1,7.95,145.5
나무위키,갤럭시 J4 Plus,SM-J415,samsung,,안드로이드 8.1 (Oreo) | 9 (Pie) | 10Samsung Experience 9.5 | Samsung One UI 1.0 | 2,,,6,TFT-LCD,1480 x 720,274,60Hz,18.5:9,,,,,퀄컴 스냅드래곤 425 MSM8917 SoC.  ,,ARM Cortex-A53 MP4 1.4 GHz CPU,퀄컴 Adreno 308 GPU,퀄컴 Hexagon 536 DSP,DSP 대체,Qualcomm Snapdragon X6 LTE Modem,3 GB LPDDR3 SDRAM,32, eMMC -.-, micro SDXC (규격상 2 TB,,4G,,4.2,"GPS & A-GPS, GLONASS, Beidou",,,,, 500만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dolby Atmos 기술 탑재,"USB 2.0 micro Type-B x 1, 3.5 mm 단자 x 1",,,,,,,,"블랙, 골드",76.9,161.4,7.9,178
나무위키,갤럭시S10 5G,SM-G977,samsung,,안드로이드 9 (Pie) | 10 | 11 | 12(예정)Samsung One UI 1.1 | 2 | 2.1 | 2.5 | 3 | 3.1,,,6.7,,3040 x 1440,508,,19:09,,,,,삼성 엑시노스 9 Series (9820) SoC.  ,,Samsung Exynos M4 Dual-Core 2.73 GHz CPUARM Cortex-A75 Dual-Core 2.31 GHz CPUARM Cortex-A55 Quad-Core 1.95 GHz CPU,ARM Mali-G76 12-Core 702 MHz GPU,Samsung 1st Design NPU Architecture Dual-Core NPU,NPU 대체,Samsung Exynos Modem 5000,8 GB LPDDR4X SDRAM,256/512, UFS 2.1,,5G,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,[2],,"1,000만 ","1,000만",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IP68 등급 방수 방진 지원, AKG 튜닝 및 Dolby Atmos 기술 탑재, FM 라디오 지원  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 지자기, 홀, RGB 광, 근접","USB 3.1 Gen1 Type-C x 1, 3.5 mm 단자 x 1",4500,내장형 Li-Ion  ,"삼성전자 Super Fast Charging - USB Power Delivery 3.0 (25 W)삼성전자 Adaptive Fast Charging (15 W), 퀄컴 퀵 차지 2.0 (15 W)",,,,,"마제스틱 블랙, 로얄 골드, 크라운 실버",77.1,162.6,7.94,198
나무위키,갤럭시S10e,SM-G970,samsung,,안드로이드 9 (Pie) | 10 | 11 | 12(예정)Samsung One UI 1.1 | 2 | 2.1 | 2.5 | 3 | 3.1,,,5.8,Dynamic AMOLED,2280 x 1080,438,60Hz,19:09,,,,,삼성 엑시노스 9 Series (9820) SoC.  ,,Samsung Exynos M4 MP2 @ 2.73 GHz CPUARM Cortex-A75 MP2 @ 2.31 GHz CPUARM Cortex-A55 MP4 @ 1.95 GHz CPU,ARM Mali-G76 MP12 @ 702 MHz,Samsung 1st Design NPU Architecture 2-Core @ 933 MHz,NPU 대체,Samsung Exynos Modem 5000,6 GB LPDDR4X SDRAM,128, UFS 2.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,,,"1,200만  + 1,600만 "," 1,000만",,LED 플래시광학 0.5배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IP68 등급 방수 방진 지원, AKG 튜닝 및 Dolby Atmos 기술 탑재, FM 라디오 지원,  [ 기타 탑재 센서 정보 ]가속도, 기압, 자이로, 지자기, 홀, RGB 광, 근접","USB 3.1 Gen1 Type-C x 1, 3.5 mm 단자 x 1",3100,내장형 Li-Ion  ,"삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W), USB Power Delivery 2.0 (15 W)",,,,,"프리즘 블랙, 프리즘 화이트, 카나리아 옐로우",69.9,142.2,7.9,150
나무위키,갤럭시S10,SM-G973,samsung,,안드로이드 9 (Pie) | 10 | 11 | 12(예정)Samsung One UI 1.1 | 2 | 2.1 | 2.5 | 3 | 3.1,,,6.1,Dynamic AMOLED (M9 썬플라워) Dual-Edge,3040 x 1440,550,60Hz,19:09,,,,,삼성 엑시노스 9 Series (9820) SoC.  ,,Samsung Exynos M4 Dual-Core 2.73 GHz CPUARM Cortex-A75 Dual-Core 2.31 GHz CPUARM Cortex-A55 Quad-Core 1.95 GHz CPU,ARM Mali-G76 12-Core 702 MHz GPU,Samsung 1st Design NPU Architecture Dual-Core NPU,NPU 대체,Samsung Exynos Modem 5000,8 GB LPDDR4X SDRAM,128/512, UFS 2.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,,,"1,200만  + 1,200만  + 1,600만 "," 1,000만",,LED 플래시광학 0.5-2배줌 지원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국제,"USB 3.1 Gen1 Type-C x 1, 3.5 mm 단자 x 1",3400,내장형 Li-Ion  ,"삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W), USB Power Delivery 2.0 (15 W)",,,,,"프리즘 블랙, 프리즘 화이트, 프리즘 그린, 플라밍고 핑크",70.4,149.9,7.8,157
나무위키,갤럭시S10 Plus,SM-G975,samsung,,안드로이드 9 (Pie) | 10 | 11 | 12(예정)Samsung One UI 1.1 | 2 | 2.1 | 2.5 | 3 | 3.1,,,6.4,Dynamic AMOLED (M9 썬플라워) Dual-Edge,3040 x 1440,522,60Hz,19:09,,,,,삼성 엑시노스 9 Series (9820) SoC.  ,,Samsung Exynos M4 Dual-Core 2.73 GHz CPUARM Cortex-A75 Dual-Core 2.31 GHz CPUARM Cortex-A55 Quad-Core 1.95 GHz CPU,ARM Mali-G76 12-Core 702 MHz GPU,Samsung 1st Design NPU Architecture Dual-Core NPU,NPU 대체,Samsung Exynos Modem 5000,8 GB LPDDR4X SDRAM,128/512, UFS 2.1,,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,,,"1,000만  + 800만 ","1,000만 + 800만",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국제,"USB 3.1 Gen1 Type-C x 1, 3.5 mm 단자 x 1",4100,내장형 Li-Ion  ,"삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W), USB Power Delivery 2.0 (15 W)",,,,,"프리즘 블랙, 프리즘 화이트, 세라믹 블랙, 세라믹 화이트, 플라밍고 핑크",74.1,157.6,7.8,175
나무위키,갤럭시S9,SM-G960,samsung,,안드로이드 8.0 (Oreo) | 9 (Pie) | 10Samsung Experience 9.0 | Samsung One UI 1.0 | 2 | 2.1 | 2.5,,,5.8,Super AMOLED Dual-Edge,2960 x 1440,570,60Hz,18.5:9,,,,,삼성 엑시노스 9 Series (9810) SoC.  ,,Samsung Exynos M3 Quad-Core 2.7 GHz CPUARM Cortex-A55 Quad-Core 1.79 GHz CPU,ARM Mali-G72 18-Core 572 MHz GPU,미탑재,미탑재,Samsung Exynos Modem 359,4 GB LPDDR4X SDRAM,64, UFS 2.1, micro SDXC (규격상 2 TB,,4G,,5,"GPS & A-GPS, GLONASS, Galileo, Beidou, QZSS",,,,, 800만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,국제,"USB 3.1 Gen1 Type-C x 1, 3.5 mm 단자 x 1",3000,내장형 Li-Ion  ,"삼성전자 Adaptive Fast Charging (15 W)퀄컴 퀵 차지 2.0 (15 W), USB Power Delivery 2.0 (15 W)",,,,,"미드나잇 블랙, 코랄 블루, 라일락 퍼플, 버건디 레드, 선라이즈 골드, 폴라리스 블루",68.7,147.7,8.5,163
